seed,AR_max,succ
996,1.0,1.0
997,0.9804503856591912,0.1287
998,0.9999904849439776,0.99995
999,0.9983893670550849,0.86185
1000,0.9934970993227992,0.1751
1001,1.0,1.0
1002,0.9999588273900678,0.9998
1003,0.9998155476033525,0.99885
1004,0.9951643984757758,0.85195
1005,1.0,1.0
1006,0.984205876985468,0.3449
1007,1.0,1.0
1009,0.9944885654885656,0.912
1010,1.0,1.0
1011,1.0,1.0
1013,1.0,1.0
1014,1.0,1.0
1015,1.0,1.0
1016,1.0,1.0
1017,1.0,1.0
1018,1.0,1.0
1019,0.9998099348534204,0.94165
1020,1.0,1.0
1021,0.9990676478440794,0.98465
1023,1.0,1.0
1024,0.9998325929752064,0.99795
1025,1.0,1.0
1026,1.0,1.0
1027,1.0,1.0
1028,1.0,1.0
1031,0.9999944967760022,0.99995
1032,0.9993918348427582,0.9726
1033,1.0,1.0
1034,0.9913654018524052,0.7592
1035,1.0,1.0
1036,0.9999976736759358,0.99995
1037,0.9999842563832586,0.99995
1038,1.0,1.0
1040,0.9994671439976052,0.99475
1041,0.9976647852995946,0.9175
1042,0.9999929569539528,0.99995
1044,1.0,1.0
1045,1.0,1.0
1046,1.0,1.0
1047,0.9983705315997368,0.583
1048,1.0,1.0
1049,1.0,1.0
1050,1.0,1.0
1051,0.9999835292031812,0.9999
1052,1.0000000000000002,1.0
1053,0.9835141138821452,0.276
1054,0.9998688908697312,0.9987
1056,0.9972756051812006,0.31025
1057,0.9999772526296192,0.99975
1058,0.9303102755334576,0.26925
1059,1.0,1.0
1060,0.9941423865848182,0.034
1063,0.999987528184893,0.9998
1064,1.0,1.0
1065,0.9858332066135648,0.01905
1066,0.9999863539247562,0.9998
1067,0.9897815628496832,0.6525
1068,1.0,1.0
1072,0.9999949644073042,0.99995
1073,0.9999925393152054,0.99995
1074,1.0,1.0
1075,0.9916321618085338,0.0249
1076,0.9957566767152348,0.45215
1077,1.0,1.0
1079,0.9999948425819436,0.99995
1080,0.9948854898285464,0.60175
1081,1.0,1.0
1083,1.0,1.0
1084,0.999376302617296,0.9873
1085,0.9999334604473794,0.82115
1086,1.0,1.0
1087,0.9999796048387096,0.99985
1088,1.0,1.0
1089,0.9995269256794858,0.89425
1091,0.9992142554498002,0.9895
1092,1.0,1.0
1093,1.0,1.0
1094,1.0,1.0
1095,1.0,1.0
1096,0.9761627019014516,0.4229
1097,1.0,1.0
1098,1.0,1.0
1099,1.0,1.0
1100,1.0,1.0
1101,1.0,1.0
1102,1.0,1.0
1103,1.0,1.0
1104,1.0,1.0
1105,0.999987839914323,0.99985
1108,1.0,1.0
1109,0.978870694582505,0.41885
1110,0.994765545311887,0.85285
1111,1.0,1.0
1112,1.0,1.0
1113,1.0,1.0
1115,1.0,1.0
1116,1.0,1.0
1117,0.9999961707784848,0.99995
1118,1.0,1.0
1119,0.99999159565363,0.99995
1120,1.0,1.0
1121,0.9919691180545932,0.00925
1122,0.9801350897510134,0.55765
1123,0.9956312187073284,0.95
1124,1.0,1.0
1125,0.9941336453167564,0.13785
1127,1.0,1.0
1128,0.99950567540449,0.9493
1129,0.9991466920549584,0.9927
1130,0.9985867093326704,0.62615
1131,1.0,1.0
1132,0.9902248371817642,0.94645
1135,1.0,1.0
1136,1.0,1.0
1138,1.0,1.0
1140,1.0,1.0
1142,1.0,1.0
1143,1.0,1.0
