n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,459,0.9976,0.0022,0.10110000000000019,-2.5308,-2.4297,0.9976,0.9998556306306304
7,4,3,460,0.9997,0.00025,0.6170999999999998,-2.8987,-2.2816,0.9997,0.9999351795632525
7,4,3,461,1.0,0.0,0.10280000000000022,-1.8471000000000002,-1.7443,1.0,1.0000000000000002
7,4,3,465,0.9994,0.00055,0.3250000000000002,-2.0231000000000003,-1.6981000000000002,0.9994,0.9997334387820672
7,4,3,466,0.9992,0.00075,0.008099999999999774,-2.4333,-2.4252000000000002,0.9992,0.9999795442403319
7,4,3,467,1.0,0.0,0.3938999999999999,-2.0808999999999997,-1.6869999999999998,1.0,1.0
7,4,3,468,0.99955,0.00045,0.4405999999999999,-2.6608,-2.2202,0.99955,0.9998530667468429
7,4,3,469,0.6101,0.38985,0.05790000000000006,-2.1289,-2.0709999999999997,0.38985,0.9833990863826388
7,4,3,470,0.86495,0.13495,0.06099999999999994,-1.4398,-1.3788,0.86495,0.9942759619391582
7,4,3,471,0.7438,0.2562,0.0674999999999999,-2.4454,-2.3779,0.2562,0.9794690030260899
7,4,3,472,0.98685,0.01,0.02279999999999971,-2.5326,-2.5098000000000003,0.01,0.9910422707889126
7,4,3,473,0.694,0.3055,0.03190000000000004,-1.2972,-1.2652999999999999,0.694,0.9909442260252851
7,4,3,475,0.99895,0.00105,0.3855999999999997,-2.3015,-1.9159000000000002,0.99895,0.9997209732782968
7,4,3,476,0.63405,0.17525,0.012199999999999989,-2.2350999999999996,-2.2228999999999997,0.1143,0.9845279338732046
7,4,3,477,0.99995,5e-05,0.15399999999999991,-1.5152999999999999,-1.3613,0.99995,0.9999939087969378
7,4,3,479,1.0,0.0,0.2772999999999999,-1.5865,-1.3092000000000001,1.0,1.0
7,4,3,481,0.5493,0.4498,0.08250000000000002,-1.9649,-1.8824,0.4498,0.976855753473459
7,4,3,482,0.99995,5e-05,0.5189999999999997,-2.6300999999999997,-2.1111,0.99995,0.999988236188738
7,4,3,483,0.58215,0.3455,0.008199999999999985,-1.3783,-1.3701,0.02315,0.972290615250671
7,4,3,484,0.99105,0.00895,0.1593,-1.9151,-1.7558,0.99105,0.9992555297373505
7,4,3,485,0.95215,0.04785,0.25059999999999993,-2.2971,-2.0465,0.95215,0.9947798485046362
